ADR;1000002;27/02/2024;001358
ITM;311;0.07;;11
ITM;360;0.078;;11
ITM;148;0.434;;11
ITM;135;1.03;;11
ITM;125;0.456;;11
ITM;129;1.024;;11
ITM;308;0.114;;11
ITM;313;0.02;;11
ITM;310;0.076;;11
ITM;329;0.752;;11
ITM;213;3;;11
ITM;506;0.404;;11
ITM;402;0.258;;11
ITM;306;0.278;;11
ITM;334;0.084;;11
ITM;302;0.052;;11
ITM;927;11;;11
ITM;329;0.36;;11
ITM;409;0.15;;11
ITM;371;1;;11
ITM;402;0.052;;11
ITM;506;0.168;;11
ITM;263;0.268;;11
ITM;214;0.102;;11
ITM;322;0.108;;11
ITM;301;0.034;;11
ITM;308;0.178;;11
ITM;451;0.11;;11
ITM;329;0.408;;11
ITM;698;0.342;;11
ITM;313;0.104;;11
ITM;311;0.018;;11
ITM;360;0.034;;11
ITM;305;0.09;;11
ITM;409;0.276;;11
ITM;209;1;;11
